 FORECAST DATE (16070300)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
 30    20.991   124.915   959.393    43.836    22.533
 36    21.186   123.777   948.964    45.256    20.002
 42    21.436   123.054   942.035    48.922    13.304
 48    21.975   122.242   942.276    48.575    17.193
 54    22.596   121.555   951.137    44.141    16.452
 60    23.229   120.391   973.179    32.307    23.057
 66    23.728   120.217   980.276    27.198     9.692
 72    24.392   120.026   978.816    28.397    12.717
 78    25.137   119.760   979.818    30.734    14.507
 84    25.770   119.641   981.238    23.416    11.884
 90    26.420   120.014   983.661    24.006    13.550
 96    27.846   120.798   982.254    24.612    29.416
102    28.891   121.494   984.436    22.158    22.440
108    30.164   122.218   980.005    25.238    26.298
114    31.224   123.402   981.545    26.166    27.224
120    32.463   124.166   981.183    23.799    25.897
 FORECAST DATE (16070600)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
  0    18.635   130.031   966.119    42.507  -999.000
  6    19.230   128.639   956.114    49.365    26.761
 12    20.143   127.143   958.407    44.219    31.083
 18    20.818   125.715   952.697    48.357    27.749
 24    21.383   124.417   951.562    49.685    24.755
 30    21.614   123.228   944.383    50.600    20.928
 36    22.017   122.398   946.773    49.875    16.112
 42    22.505   121.473   956.057    43.441    18.242
 48    23.173   120.347   978.722    25.965    22.872
 54    23.306   120.110   983.731    25.127     4.723
 60    23.590   119.933   985.465    25.140     6.050
 66    23.922   119.764   983.982    23.701     6.791
 72    24.846   119.730   983.884    25.831    17.100
 78    25.369   119.644   982.273    24.913     9.692
 84    26.186   120.112   982.495    25.385    17.008
 90    27.415   120.767   979.086    26.268    25.187
 96    28.687   121.337   981.649    23.829    25.342
102    29.788   122.110   977.934    24.068    23.922
108    30.474   123.301   979.266    29.394    22.903
114    32.137   125.235   978.128    26.649    43.429
120    33.181   125.985   980.414    26.009    22.594
 FORECAST DATE (16070606)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
  0    19.481   128.131   967.196    41.586  -999.000
  6    19.674   126.857   954.889    48.336    22.502
 12    20.397   125.729   953.302    48.256    23.736
 18    21.143   124.406   956.084    48.574    26.761
